num_elements,target,dp_time,dp_memory,greedy_time,greedy_memory
3,7,8.600298315286636e-06,4.57763671875e-05,7.200054824352264e-06,9.918212890625e-05
4,11,3.91998328268528e-05,4.57763671875e-05,7.200054824352264e-06,9.918212890625e-05
4,11,1.8099788576364517e-05,0.000213623046875,6.00004568696022e-06,9.918212890625e-05
5,16,1.6700010746717453e-05,0.00025177001953125,7.200054824352264e-06,0.00011444091796875
6,22,3.100372850894928e-06,4.57763671875e-05,5.600042641162872e-06,0.00011444091796875
50,13020,4.600267857313156e-06,4.57763671875e-05,5.3099822252988815e-05,0.00048828125
100,23916,5.8002769947052e-06,4.57763671875e-05,0.00010020006448030472,0.0008697509765625
150,37132,5.7998113334178925e-06,4.57763671875e-05,0.0001392001286149025,0.001251220703125
200,49131,7.699709385633469e-06,4.57763671875e-05,0.0001839003525674343,0.0016326904296875
250,62908,7.6000578701496124e-06,4.57763671875e-05,0.00022909976541996002,0.00201416015625
300,77156,1.0099727660417557e-05,4.57763671875e-05,0.00028879987075924873,0.0023956298828125
350,90492,1.2600328773260117e-05,4.57763671875e-05,0.00033400021493434906,0.002777099609375
400,100978,9.000301361083984e-06,4.57763671875e-05,0.00036010006442666054,0.0031585693359375
450,112402,1.0400079190731049e-05,4.57763671875e-05,0.0004227999597787857,0.0035400390625
500,124105,1.2599863111972809e-05,4.57763671875e-05,0.0006605000235140324,0.0039215087890625
